storm,threshold_km,excess_log1p,density,mean_excess,n
Harvey (2017),10,-1.8757515030060121,0.0016974082150071098,3.3287329351356507,8719
Harvey (2017),10,-1.8476953907815634,0.001768393245014887,3.3287329351356507,8719
Harvey (2017),10,-1.8196392785571138,0.0018434620711886766,3.3287329351356507,8719
Harvey (2017),10,-1.7915831663326651,0.001923065671457852,3.3287329351356507,8719
Harvey (2017),10,-1.7635270541082164,0.002007644709206221,3.3287329351356507,8719
Harvey (2017),10,-1.7354709418837677,0.0020976230946151302,3.3287329351356507,8719
Harvey (2017),10,-1.707414829659319,0.002193404565233582,3.3287329351356507,8719
Harvey (2017),10,-1.6793587174348694,0.002295372676896621,3.3287329351356507,8719
Harvey (2017),10,-1.6513026052104207,0.002403894349430695,3.3287329351356507,8719
Harvey (2017),10,-1.623246492985972,0.002519326845169883,3.3287329351356507,8719
Harvey (2017),10,-1.5951903807615233,0.0026420277931431054,3.3287329351356507,8719
Harvey (2017),10,-1.5671342685370737,0.0027723676296943075,3.3287329351356507,8719
Harvey (2017),10,-1.539078156312625,0.002910743627848009,3.3287329351356507,8719
Harvey (2017),10,-1.5110220440881763,0.003057594550224157,3.3287329351356507,8719
Harvey (2017),10,-1.4829659318637276,0.003213414895931999,3.3287329351356507,8719
Harvey (2017),10,-1.454909819639279,0.0033787677263860763,3.3287329351356507,8719
Harvey (2017),10,-1.4268537074148293,0.0035542951470099557,3.3287329351356507,8719
Harvey (2017),10,-1.3987975951903806,0.003740725682867646,3.3287329351356507,8719
Harvey (2017),10,-1.370741482965932,0.003938878001661948,3.3287329351356507,8719
Harvey (2017),10,-1.3426853707414832,0.004149660687749629,3.3287329351356507,8719
Harvey (2017),10,-1.3146292585170336,0.004374068033542663,3.3287329351356507,8719
Harvey (2017),10,-1.286573146292585,0.004613172067083016,3.3287329351356507,8719
Harvey (2017),10,-1.2585170340681362,0.00486811125570005,3.3287329351356507,8719
Harvey (2017),10,-1.2304609218436875,0.0051400764983899495,3.3287329351356507,8719
Harvey (2017),10,-1.2024048096192388,0.005430295132355203,3.3287329351356507,8719
Harvey (2017),10,-1.1743486973947892,0.005740013727024306,3.3287329351356507,8719
Harvey (2017),10,-1.1462925851703405,0.006070480423708347,3.3287329351356507,8719
Harvey (2017),10,-1.1182364729458918,0.006422927509098314,3.3287329351356507,8719
Harvey (2017),10,-1.090180360721443,0.006798554799549178,3.3287329351356507,8719
Harvey (2017),10,-1.0621242484969944,0.00719851427753591,3.3287329351356507,8719
Harvey (2017),10,-1.0340681362725448,0.007623896280224805,3.3287329351356507,8719
Harvey (2017),10,-1.006012024048096,0.008075717410391583,3.3287329351356507,8719
Harvey (2017),10,-0.9779559118236474,0.008554910236614052,3.3287329351356507,8719
