home_zip,median_income,ec,ec_pred_from_income,ec_residual
01970,72994,0.99684,0.8934804524065224,0.10335954759347754
01982,116955,1.54799,1.133538547407003,0.414451452592997
02019,109042,1.2001899,1.090327981092797,0.10986191890720298
02021,118814,1.17742,1.1436899997990297,0.03373000020097017
02026,108047,1.17365,1.0848945786559672,0.08875542134403291
02032,161292,1.2408,1.3756498678509488,-0.13484986785094888
02035,95410,1.28113,1.0158876373552446,0.26524236264475554
02038,127608,1.36308,1.1917114480698658,0.17136855193013423
02043,154300,1.40376,1.3374686117320398,0.0662913882679601
02045,117120,1.36745,1.1344395638915024,0.2330104361084977
02048,122274,1.23581,1.1625840424436844,0.07322595755631567
02050,109524,1.30725,1.0929600413687288,0.2142899586312712
02052,196820,1.50012,1.5696578294345587,-0.06953782943455877
02053,147276,1.36865,1.2991126130221975,0.06953738697780243
02054,131138,1.3853,1.210987740132187,0.17431225986781307
02056,168281,1.46741,1.4138147418519578,0.053595258148042335
02061,172022,1.40725,1.4342432428732448,-0.026993242873244894
02062,96414,1.07524,1.0213701861457742,0.053869813854225734
02066,132639,1.49784,1.2191842597881484,0.2786557402118517
02067,157928,1.43331,1.3572800529790938,0.07602994702090626
02072,94823,1.0287499,1.0126822029528133,0.01606769704718669
02081,129972,1.29259,1.2046205569750577,0.08796944302494225
02090,171071,1.37025,1.4290501114989482,-0.05880011149894826
02093,147201,1.32802,1.2987030600746978,0.029316939925302155
02108,151793,1.11996,1.3237786218736152,-0.2038186218736151
02109,156351,1.15476,1.348668519669666,-0.19390851966966594
02111,65587,1.15911,0.8530330033114482,0.30607699668855193
02113,100613,1.31391,1.044299690499793,0.2696103095002069
02114,118125,1.08328,1.1399275733879988,-0.05664757338799875
02115,47486,1.12528,0.7541887646088778,0.3710912353911222
02116,121967,1.13798,1.1609076057119188,-0.022927605711918764
02118,71096,0.94537002,0.8831160324817957,0.06225398751820432
02119,34987,0.8434,0.6859354007315546,0.15746459926844547
02120,50728,0.96517003,0.7718923733527998,0.1932776566472002
02121,40732,0.87213999,0.7173071565100346,0.15483283348996535
02122,77081,0.82405001,0.9157983576922749,-0.09174834769227491
02124,65683,0.82775003,0.8535572310842479,-0.025807201084247833
02125,60612,0.84952998,0.8258659911272987,0.02366398887270127
02126,61180,0.77552003,0.8289676721163635,-0.053447642116363436
02127,131782,1.09942,1.214504434774718,-0.11508443477471797
02128,71630,0.70993,0.8860320494679939,-0.1761020494679939
02129,140534,1.03705,1.2622965333949543,-0.22524653339495426
02130,106153,0.95318002,1.074552001555107,-0.12137198155510709
02131,93601,0.87371999,1.0060092202615507,-0.1322892302615507
02132,114596,1.0983599,1.1206567420316444,-0.022296842031644504
02134,70021,1.01764,0.8772457735676328,0.14039422643236732
02135,85792,1.0945801,0.963366567367878,0.131213532632122
02136,81859,0.84307998,0.9418896108009915,-0.09880963080099159
02138,108692,1.5367,1.088416734004465,0.4482832659955349
02139,113374,1.43837,1.113983759340382,0.32438624065961785
02140,119827,1.39767,1.1492216949432597,0.24844830505674032
02141,96563,1.44243,1.022183831334807,0.42024616866519304
02142,137723,1.42722,1.246946488922664,0.1802735110773359
02143,111201,1.31999,1.102117645274823,0.21787235472517708
02144,117601,1.45189,1.1370661634614674,0.3148238365385325
02145,99035,1.0168101,1.0356826964843986,-0.01887259648439854
02148,77082,1.11814,0.9158038183982415,0.20233618160175837
02149,71574,0.89897001,0.8857262499338607,0.013243760066139254
02150,64688,0.56124997,0.848123828647418,-0.286873858647418
02151,72971,0.75107998,0.8933548561692892,-0.14227487616928924
02152,86780,1.06101,0.9687617448629412,0.09224825513705881
02155,107937,1.2139601,1.0842939009996342,0.1296661990003658
02169,80087,1.18126,0.9322132398280645,0.2490467601719355
02170,92052,1.26849,0.9975505867191896,0.2709394132808103
02171,90558,1.29144,0.9893922920049947,0.30204770799500524
02176,125000,1.33434,1.1774699269088083,0.15687007309119183
02180,105541,1.29817,1.0712100495035093,0.22695995049649076
02184,114916,1.21076,1.1224041679409766,0.08835583205902342
02186,154125,1.21814,1.3365129881878737,-0.11837298818787367
02188,98327,1.14253,1.031816516660001,0.11071348333999897
02189,80020,1.1240799,0.9318473725282981,0.19223252747170183
02190,93988,1.1622601,1.0081225134706495,0.1541375865293504
02191,95846,1.2409,1.0182685051567097,0.22263149484329015
02210,160000,1.0963,1.36859463574202,-0.27229463574201995
02215,58466,1.3498501,0.8141473161228396,0.5357027838771604
02301,65275,0.74743998,0.8513292630498492,-0.10388928304984923
02302,75280,0.82019001,0.9059636262463144,-0.08577361624631441
02322,127953,0.98395002,1.1935953916283648,-0.20964537162836483
02324,107932,1.2343301,1.084266597469801,0.15006350253019907
02330,61811,1.28728,0.832413377581328,0.45486662241867193
02332,130260,1.45883,1.2061932402934568,0.2526367597065433
02333,110924,1.21709,1.1006050297220573,0.11648497027794269
02338,98264,1.4063801,1.0314724921841012,0.3749076078158988
02339,149048,1.36783,1.3087889839951248,0.059041016004875324
02341,113500,1.28183,1.1146718082921816,0.16715819170781843
02343,89580,1.09117,0.9840517215695981,0.10711827843040189
02346,81809,1.2279,0.9416165755026584,0.28628342449734157
02347,112240,1.26704,1.107791318774186,0.15924868122581404
02351,113155,1.12002,1.1127878647336829,0.007232135266317163
02356,114682,1.13513,1.1211263627447776,0.014003637255222356
02359,130015,1.40811,1.2048553673316242,0.20325463266837573
02360,97956,1.15818,1.029790594746369,0.12838940525363096
02364,103945,1.25202,1.0624947627807149,0.18952523721928505
02367,118098,1.34882,1.139780134326899,0.20903986567310096
02368,87985,1.04055,0.9753418955527703,0.0652081044472298
02370,90315,1.05311,0.9880653404550955,0.06504465954490446
02375,110549,1.13581,1.0985572649845585,0.03725273501544146
02379,111964,1.16369,1.106284163927387,0.05740583607261285
02382,94919,1.15555,1.0132064307256128,0.1423435692743873
02420,215303,1.45854,1.6705880578163945,-0.21204805781639458
02421,191140,1.37813,1.5386410195439117,-0.16051101954391167
02445,126832,1.41064,1.1874739402397352,0.2231660597602647
02446,109845,1.41883,1.0947129279840278,0.3241170720159723
02451,109021,1.0810601,1.0902133062674972,-0.009153206267497271
02452,101857,0.91666001,1.0510928087223221,-0.13443279872232217
02453,100167,0.92061001,1.0418642156386613,-0.1212542056386613
02458,131992,1.31795,1.2156511830277172,0.10229881697228271
02459,200091,1.54119,1.587519798651514,-0.046329798651513876
02465,167330,1.30598,1.4086216104776612,-0.1026416104776613
02467,157054,1.29447,1.3525073959642302,-0.05803739596423019
02472,101354,1.28099,1.0483460736210906,0.23264392637890952
02474,124375,1.51617,1.174056985679644,0.3421130143203561
02476,127649,1.36967,1.1919353370144992,0.17773466298550078
02478,151290,1.46196,1.3210318867723836,0.14092811322761634
02481,249375,1.38476,1.8566452315125426,-0.4718852315125426
02482,202396,1.4924901,1.6001067259046726,-0.10761662590467269
02492,190651,1.43296,1.5359707343262134,-0.10301073432621344
02494,153285,1.33239,1.3319259951758766,0.000464004824123343
02535,104135,0.89304,1.0635322969143808,-0.17049229691438084
02536,74944,1.11182,0.9041288290415157,0.20769117095848433
02537,124167,1.3608,1.172921158838578,0.18787884116142206
02538,88152,1.069,0.976253833449203,0.09274616655079693
