zip,expansion_factor
94598,32.91469194312796
95683,14.87914691943128
95607,0.9674556213017751
94595,38.82683982683983
94609,33.99552906110283
94123,36.38288920056101
94108,18.994778067885118
94931,14.829310344827586
94517,26.952
94605,59.382920110192835
95030,25.652509652509654
94304,5.5584045584045585
95236,11.171957671957673
94028,18.12137203166227
95684,8.253658536585366
94027,12.768439108061749
95249,13.711864406779661
95833,78.19544592030361
95648,98.48496240601504
94574,25.078034682080926
95425,28.61081081081081
94904,24.686274509803923
95815,43.56476683937824
93920,12.307017543859649
94571,24.83248730964467
94703,36.99325463743676
94043,41.32283464566929
95816,26.776049766718508
94611,67.6701030927835
94301,33.1233140655106
95685,14.189759036144578
94105,16.953703703703702
95814,21.477272727272727
94062,53.792635658914726
94585,68.99533799533799
94507,39.41057934508816
94065,26.315899581589957
95650,35.324120603015075
95669,10.672727272727272
95387,6.893203883495145
94925,20.384297520661157
94022,50.595300261096604
94502,36.82367758186398
94542,35.99240506329114
95039,4.2831541218638
94920,38.77878787878788
95117,63.775862068965516
95228,18.222672064777328
95046,16.23989218328841
94024,50.98085106382979
95220,29.91269841269841
94127,64.91818181818182
93950,44.55714285714286
95811,13.565022421524663
94706,53.81074168797954
95203,46.671597633136095
94114,73.16631578947369
94939,19.581267217630852
94710,19.896
94709,29.72151898734177
95004,14.761194029850746
94005,18.186046511627907
95492,99.73333333333333
95441,8.114624505928854
93953,12.946540880503145
95638,11.464864864864865
94572,45.66228070175438
95113,5.911585365853658
95461,11.619047619047619
94702,77.69090909090909
94552,81.97872340425532
95645,10.455696202531646
95374,12.04109589041096
95820,127.61510791366906
94705,50.625
95005,34.266666666666666
95066,63.40416666666667
94514,8.07182320441989
95110,79.85375494071147
95668,4.503030303030303
95002,14.306666666666667
95817,61.74770642201835
94951,35.434108527131784
95626,37.485207100591715
94306,150.54098360655738
95065,45.65573770491803
94111,17.07547169811321
95690,16.708661417322833
93622,94.5
95614,34.44347826086957
94924,15.534246575342467
94505,116.07857142857142
95033,67.58450704225352
94158,49.59863945578231
95391,163.98019801980197
94104,5.300970873786408
94586,12.14864864864865
94130,34.81818181818182
94707,115.68932038834951
94923,8.63265306122449
94525,28.64814814814815
94947,374.2676056338028
95245,20.119565217391305
95045,69.68333333333334
94129,99.85
95663,89.72413793103448
94020,49.407407407407405
