threshold_m,metric,x,density
1,clust,0.4755511022044088,0.0
1,clust,0.47695390781563124,0.0
1,clust,0.4783567134268537,0.0
1,clust,0.4797595190380761,0.0
1,clust,0.4811623246492986,0.0
1,clust,0.48256513026052106,0.0
1,clust,0.48396793587174347,0.0
1,clust,0.48537074148296594,0.0
1,clust,0.48677354709418835,0.0
1,clust,0.4881763527054108,0.0
1,clust,0.48957915831663323,0.0
1,clust,0.4909819639278557,0.0
1,clust,0.49238476953907817,0.0
1,clust,0.4937875751503006,0.0
1,clust,0.49519038076152305,0.0
1,clust,0.49659318637274547,0.0
1,clust,0.49799599198396793,0.0
1,clust,0.49939879759519035,0.0
1,clust,0.5008016032064128,0.0
1,clust,0.5022044088176353,0.0
1,clust,0.5036072144288577,0.0
1,clust,0.5050100200400801,0.0
1,clust,0.5064128256513026,0.0
1,clust,0.507815631262525,0.0
1,clust,0.5092184368737475,0.0
1,clust,0.51062124248497,0.0
1,clust,0.5120240480961924,0.0
1,clust,0.5134268537074148,0.0
1,clust,0.5148296593186372,0.0
1,clust,0.5162324649298597,0.0
1,clust,0.5176352705410822,0.0
1,clust,0.5190380761523046,0.0
1,clust,0.5204408817635271,0.0
1,clust,0.5218436873747495,0.0
1,clust,0.5232464929859719,0.0
1,clust,0.5246492985971943,0.0
1,clust,0.5260521042084169,0.0
1,clust,0.5274549098196393,0.0
1,clust,0.5288577154308617,0.0
1,clust,0.5302605210420842,0.0
1,clust,0.5316633266533066,0.0
1,clust,0.533066132264529,0.0
1,clust,0.5344689378757514,0.0
1,clust,0.535871743486974,0.0
1,clust,0.5372745490981964,0.0
1,clust,0.5386773547094188,0.0
1,clust,0.5400801603206413,0.0
1,clust,0.5414829659318637,0.0
1,clust,0.5428857715430861,0.0
1,clust,0.5442885771543086,0.0
1,clust,0.5456913827655311,0.0
1,clust,0.5470941883767535,0.0
1,clust,0.5484969939879759,0.0
1,clust,0.5498997995991984,0.0
1,clust,0.5513026052104208,0.0
1,clust,0.5527054108216433,0.0
1,clust,0.5541082164328657,0.0
1,clust,0.5555110220440882,0.0
1,clust,0.5569138276553106,0.0
1,clust,0.558316633266533,0.0
1,clust,0.5597194388777555,0.0
1,clust,0.561122244488978,0.0
1,clust,0.5625250501002004,0.0
1,clust,0.5639278557114228,0.0
1,clust,0.5653306613226453,0.0
1,clust,0.5667334669338677,0.0
1,clust,0.5681362725450901,0.0
1,clust,0.5695390781563127,0.0
1,clust,0.5709418837675351,0.0
1,clust,0.5723446893787575,0.0
1,clust,0.5737474949899799,0.0
1,clust,0.5751503006012024,0.0
1,clust,0.5765531062124248,0.0
1,clust,0.5779559118236473,0.0
1,clust,0.5793587174348698,0.0
1,clust,0.5807615230460922,0.0
1,clust,0.5821643286573146,0.0
1,clust,0.583567134268537,0.0
1,clust,0.5849699398797595,0.0
1,clust,0.586372745490982,0.0
1,clust,0.5877755511022044,0.0
1,clust,0.5891783567134269,0.0
1,clust,0.5905811623246493,0.0
1,clust,0.5919839679358717,0.0
1,clust,0.5933867735470941,0.0
1,clust,0.5947895791583167,0.0
1,clust,0.5961923847695391,0.0
1,clust,0.5975951903807615,0.0
1,clust,0.598997995991984,0.0
1,clust,0.6004008016032064,0.0
1,clust,0.6018036072144288,0.0
1,clust,0.6032064128256512,0.0
1,clust,0.6046092184368738,0.0
1,clust,0.6060120240480962,0.0
1,clust,0.6074148296593186,0.0
1,clust,0.6088176352705411,0.0
1,clust,0.6102204408817635,0.0
1,clust,0.6116232464929859,0.0
1,clust,0.6130260521042084,0.0
1,clust,0.6144288577154309,0.0
1,clust,0.6158316633266533,0.0
1,clust,0.6172344689378757,0.0
1,clust,0.6186372745490982,0.0
1,clust,0.6200400801603206,0.0
1,clust,0.621442885771543,0.0
1,clust,0.6228456913827655,0.0
1,clust,0.624248496993988,0.0
1,clust,0.6256513026052104,0.0
1,clust,0.6270541082164328,0.0
1,clust,0.6284569138276553,0.0
1,clust,0.6298597194388778,0.0
1,clust,0.6312625250501002,0.0
1,clust,0.6326653306613226,0.0
1,clust,0.6340681362725451,0.0
1,clust,0.6354709418837675,0.0
1,clust,0.6368737474949899,0.0
1,clust,0.6382765531062125,0.0
1,clust,0.6396793587174349,0.0
1,clust,0.6410821643286573,0.0
1,clust,0.6424849699398797,0.0
1,clust,0.6438877755511022,0.0
1,clust,0.6452905811623246,0.0
1,clust,0.646693386773547,0.0
1,clust,0.6480961923847696,0.0
1,clust,0.649498997995992,0.0
1,clust,0.6509018036072144,0.0
1,clust,0.6523046092184369,0.0
1,clust,0.6537074148296593,0.0
1,clust,0.6551102204408817,0.0
1,clust,0.6565130260521042,0.0
1,clust,0.6579158316633267,0.0
1,clust,0.6593186372745491,0.0
1,clust,0.6607214428857715,0.0
1,clust,0.662124248496994,0.0
1,clust,0.6635270541082164,0.0
1,clust,0.6649298597194389,0.0
1,clust,0.6663326653306613,0.0
1,clust,0.6677354709418838,0.0
1,clust,0.6691382765531062,0.0
1,clust,0.6705410821643286,0.0
1,clust,0.6719438877755511,0.0
1,clust,0.6733466933867736,0.0
1,clust,0.674749498997996,0.0
1,clust,0.6761523046092184,0.0
1,clust,0.6775551102204409,0.0
1,clust,0.6789579158316633,0.0
1,clust,0.6803607214428857,0.0
1,clust,0.6817635270541083,0.0
1,clust,0.6831663326653307,0.0
1,clust,0.6845691382765531,0.0
1,clust,0.6859719438877755,0.0
1,clust,0.687374749498998,0.0
1,clust,0.6887775551102204,0.0
1,clust,0.6901803607214428,0.0
1,clust,0.6915831663326654,0.0
1,clust,0.6929859719438878,0.0
1,clust,0.6943887775551102,0.0
1,clust,0.6957915831663326,0.0
1,clust,0.6971943887775551,0.0
1,clust,0.6985971943887775,0.0
1,clust,0.7,0.0
1,sr,0.0,0.11260818074566799
1,sr,0.002004008016032064,0.11180137336270646
1,sr,0.004008016032064128,0.10941546919572817
1,sr,0.0060120240480961915,0.10555157256323297
1,sr,0.008016032064128256,0.1003702674635894
1,sr,0.01002004008016032,0.09408054991414405
1,sr,0.012024048096192383,0.0869258618807974
1,sr,0.014028056112224447,0.07916852544836116
1,sr,0.01603206412825651,0.07107395763668434
1,sr,0.018036072144288574,0.06289597220097581
1,sr,0.02004008016032064,0.0548642646124574
1,sr,0.022044088176352703,0.04717486681792332
1,sr,0.024048096192384766,0.039983996038476036
1,sr,0.026052104208416832,0.033405355797791664
1,sr,0.028056112224448895,0.0275106214950987
1,sr,0.03006012024048096,0.022332590263500547
1,sr,0.03206412825651302,0.017870314546932685
1,sr,0.03406813627254509,0.014095474957353308
1,sr,0.03607214428857715,0.010959271635907548
1,sr,0.038076152304609215,0.008399206019853292
1,sr,0.04008016032064128,0.0063452627959728735
1,sr,0.04208416833667334,0.0047251601080624
1,sr,0.044088176352705406,0.0034684926248082734
1,sr,0.04609218436873747,0.0025097298133997313
1,sr,0.04809619238476953,0.001790139925453294
1,sr,0.0501002004008016,0.0012587842556956977
1,sr,0.052104208416833664,0.0008727669659539524
1,sr,0.05410821643286573,0.0005969378062938514
1,sr,0.05611222444889779,0.0004032352413622351
1,sr,0.058116232464929855,0.0002698333192974788
1,sr,0.06012024048096192,0.00018022411509023494
1,sr,0.06212424849699398,0.00012233446758721828
1,sr,0.06412825651302605,8.774507565832316e-05
1,sr,0.06613226452905811,7.105418658393964e-05
1,sr,0.06813627254509018,6.940794831858213e-05
1,sr,0.07014028056112225,8.220466884176083e-05
1,sr,0.0721442885771543,0.00011096957750577779
1,sr,0.07414829659318636,0.00015938861344254372
1,sr,0.07615230460921843,0.00023348255416766775
1,sr,0.0781563126252505,0.0003418948916392267
1,sr,0.08016032064128256,0.0004962571295024012
1,sr,0.08216432865731463,0.0007115831150062351
1,sr,0.08416833667334668,0.0010066299465353692
1,sr,0.08617234468937875,0.001404148162769834
1,sr,0.08817635270541081,0.0019309305381138523
1,sr,0.09018036072144288,0.0026175599582418893
1,sr,0.09218436873747494,0.0034977561851924524
1,sr,0.09418837675350701,0.0046072325945538325
1,sr,0.09619238476953906,0.005982000351368348
1,sr,0.09819639278557113,0.007656100779957101
1,sr,0.1002004008016032,0.00965880647351064
1,sr,0.10220440881763526,0.01201140471648944
1,sr,0.10420841683366733,0.01472375659728565
1,sr,0.1062124248496994,0.01779090229775182
1,sr,0.10821643286573146,0.021190045782966082
1,sr,0.11022044088176351,0.024878288045086697
1,sr,0.11222444889779558,0.028791475950596456
1,sr,0.11422845691382764,0.032844485782912144
1,sr,0.11623246492985971,0.03693316441782487
1,sr,0.11823647294589178,0.04093801132233215
1,sr,0.12024048096192384,0.044729513263168624
1,sr,0.1222444889779559,0.04817485942692208
1,sr,0.12424849699398796,0.05114559079689067
1,sr,0.12625250501002003,0.05352559862045589
1,sr,0.1282565130260521,0.055218804605923974
1,sr,0.13026052104208416,0.05615584570616293
1,sr,0.13226452905811623,0.0562991551298083
1,sr,0.1342685370741483,0.055645973608517765
1,sr,0.13627254509018036,0.054229025014947356
1,sr,0.13827655310621242,0.052114823321807655
1,sr,0.1402805611222445,0.04939981349027311
1,sr,0.14228456913827653,0.04620475640516385
1,sr,0.1442885771543086,0.04266792082684787
1,sr,0.14629258517034066,0.03893772518433805
1,sr,0.14829659318637273,0.03516547157312095
1,sr,0.1503006012024048,0.03149873809487039
1,sr,0.15230460921843686,0.028075859014908746
1,sr,0.15430861723446893,0.025021748446610703
1,sr,0.156312625250501,0.022445139789792352
1,sr,0.15831663326653306,0.02043714700630641
1,sr,0.16032064128256512,0.019070927597049925
1,sr,0.1623246492985972,0.01840215572593991
1,sr,0.16432865731462926,0.018470002561258858
1,sr,0.16633266533066132,0.019298364790227125
1,sr,0.16833667334669336,0.020897167713887714
1,sr,0.17034068136272543,0.023263676148107426
1,sr,0.1723446893787575,0.02638385118424164
1,sr,0.17434869739478956,0.03023387100099644
1,sr,0.17635270541082163,0.034781971111153054
1,sr,0.1783567134268537,0.03999074307881377
1,sr,0.18036072144288576,0.04581996008374813
1,sr,0.18236472945891782,0.05222988249393167
1,sr,0.1843687374749499,0.05918485611870103
1,sr,0.18637274549098196,0.06665687616044674
1,sr,0.18837675350701402,0.07462867985730834
1,sr,0.1903807615230461,0.08309587689415218
1,sr,0.19238476953907813,0.0920676479639263
1,sr,0.1943887775551102,0.10156564593951797
1,sr,0.19639278557114226,0.11162091453078568
1,sr,0.19839679358717432,0.12226887557852784
1,sr,0.2004008016032064,0.13354269632538246
1,sr,0.20240480961923846,0.1454655935520155
1,sr,0.20440881763527052,0.15804282363041305
1,sr,0.2064128256513026,0.1712542141566152
1,sr,0.20841683366733466,0.18504809411979753
1,sr,0.21042084168336672,0.19933737189520817
1,sr,0.2124248496993988,0.21399830699652786
1,sr,0.21442885771543085,0.22887225042456924
1,sr,0.21643286573146292,0.243770327275236
1,sr,0.21843687374749496,0.25848074485931183
1,sr,0.22044088176352702,0.27277816705470953
1,sr,0.2224448897795591,0.2864344284924307
1,sr,0.22444889779559116,0.29922978469627154
1,sr,0.22645290581162322,0.31096390636362964
1,sr,0.2284569138276553,0.3214659148816567
1,sr,0.23046092184368736,0.33060290039481466
1,sr,0.23246492985971942,0.3382865378447981
1,sr,0.2344689378757515,0.3444775959121369
1,sr,0.23647294589178355,0.34918829895660364
1,sr,0.23847695390781562,0.3524826399145264
1,sr,0.24048096192384769,0.3544748466047723
1,sr,0.24248496993987975,0.35532627440490105
1,sr,0.2444889779559118,0.3552410372598695
1,sr,0.24649298597194386,0.3544606996658371
1,sr,0.24849699398797592,0.35325833691164993
1,sr,0.250501002004008,0.35193223046010874
