zip,n_edges,support_ratio_cdr,clustering_cdr,n_users,support_ratio_fb,clustering_fb
95121,1428.0,0.5098039215686274,0.11938146436850554,1594,0.84074998,0.090439998
94037,1014.0,0.5039447731755424,0.10268807928449246,1084,0.89249998,0.10133
95307,2586.0,0.576952822892498,0.11628027037414763,2140,0.89209998,0.083999999
94404,1425.0,0.4456140350877193,0.09153751957848907,1768,0.83054,0.089709997
94513,1564.0,0.4296675191815857,0.09954798158910821,1734,0.91885,0.088150002
94549,1006.0,0.44532803180914515,0.09085966295536481,1143,0.85676003,0.081689999
95377,2246.0,0.5347284060552092,0.11507611152837209,1898,0.84672999,0.086230002
95672,740.0,0.4297297297297297,0.10096052774953937,859,0.66202998,0.088930003
95135,1002.0,0.5838323353293413,0.12926252291523424,1036,0.90902001,0.10185
94925,232.0,0.43103448275862066,0.07950846284066611,484,0.76201999,0.079860002
94556,783.0,0.42911877394636017,0.09265201240305015,956,0.88743001,0.085299999
95670,912.0,0.5054824561403509,0.09499154464626124,1345,0.86155999,0.087509997
95616,2195.0,0.3530751708428246,0.08256214937996956,2488,0.90210998,0.10062
94303,1071.0,0.5182072829131653,0.115040106564292,1174,0.92663997,0.084770001
94127,193.0,0.41450777202072536,0.08413448097391842,330,0.63318998,0.078890003
94541,1343.0,0.47952345495160087,0.09779009703864001,2062,0.79605001,0.086560003
95252,1226.0,0.48450244698205547,0.0944329631420096,886,0.96895999,0.099969998
95864,404.0,0.46534653465346537,0.08486969075962163,690,0.79663998,0.08055
94105,266.0,0.32706766917293234,0.06946777281427292,540,0.61663997,0.0779
95070,727.0,0.5048143053645117,0.08851597221316376,1207,0.94286001,0.1041
95023,2185.0,0.49107551487414186,0.11615629713375455,1511,0.97381002,0.090389997
95356,1348.0,0.47700296735905046,0.10164160980330995,1497,0.78086001,0.083339997
94618,394.0,0.5786802030456852,0.08450869545477403,608,0.52485001,0.071099997
94551,1197.0,0.4126984126984127,0.09053308016731165,1390,0.91860002,0.091480002
95667,1522.0,0.43889618922470436,0.09474588457415874,1599,0.96381003,0.091940001
95035,2409.0,0.45745122457451226,0.10493318991398119,2953,0.90540999,0.09612
95746,659.0,0.49165402124430957,0.10511917329981389,1007,0.88218999,0.087350003
95237,473.0,0.5517970401691332,0.09986110326686215,555,0.87136,0.091540001
94506,1382.0,0.5383502170767004,0.12056711299626342,1318,0.84750998,0.0858
95825,650.0,0.3707692307692308,0.08443933492764134,1236,0.69954002,0.087520003
95131,1139.0,0.4231782265144864,0.09549415584440282,1547,0.76455998,0.09313
95829,741.0,0.6072874493927125,0.10779008609356622,1059,0.81772,0.088289998
95132,786.0,0.4491094147582697,0.10565859683151863,1025,0.89230001,0.096550003
95618,758.0,0.5316622691292876,0.10127293891011539,877,0.87311,0.095509999
95826,979.0,0.4218590398365679,0.07933116002920096,1682,0.71774,0.086560003
95010,602.0,0.4003322259136213,0.0876862077922602,788,0.68659002,0.084009998
94538,4320.0,0.4212962962962963,0.09889004294483651,4186,0.83723998,0.097989999
95003,463.0,0.4708423326133909,0.08163940138795348,700,0.85540998,0.085809998
94563,424.0,0.4268867924528302,0.07535238289814637,626,0.88297999,0.081110001
95691,1627.0,0.48063921327596804,0.10034362357582086,1665,0.91398001,0.088359997
94583,1402.0,0.3601997146932953,0.0951494922819104,1921,0.86159998,0.092019998
94577,1900.0,0.5021052631578947,0.10865056339440163,2068,0.83857,0.088930003
93635,6243.0,0.5116130065673554,0.1378330546670857,2564,0.97836,0.091669999
94619,415.0,0.42409638554216866,0.08394844680531609,715,0.84415001,0.085940003
94539,3032.0,0.48977572559366755,0.11226223324085963,2852,0.95270997,0.10911
94070,591.0,0.36548223350253806,0.08638850331121771,893,0.82686001,0.085139997
95624,3332.0,0.5042016806722689,0.10381384083682353,3188,0.87059999,0.086609997
95819,459.0,0.42483660130718953,0.07231360978679745,882,0.75577003,0.08021
