event,GEOID,n_total,n_damaged,n_abandoned,n_rhigher,Abandoned_normalized,R_Higher_normalized,median_income,ec_tract,support_ratio_tract,volunteering_rate_tract
Harvey,48201233702,1,0,0,0,,,35826.0,0.5643910967133334,0.9432072434266668,0.0177358676666666
Harvey,48201233703,123,13,4,3,0.3076923076923077,0.23076923076923078,65972.0,0.5591744478313254,0.9301508784111446,0.019064194849021
Harvey,48201240400,25,3,1,2,0.3333333333333333,0.6666666666666666,55625.0,0.6076988645182984,0.7040900270613075,0.0302634501094776
Harvey,48201240504,43,7,5,2,0.7142857142857143,0.2857142857142857,34386.0,,,
Harvey,48201240505,2,0,0,0,,,22560.0,,,
Harvey,48201240600,1,0,0,0,,,29744.0,0.44238999,0.7182899699999999,0.02352
Harvey,48201240802,115,2,1,1,0.5,0.5,68963.0,0.643109769570552,0.7482243608588959,0.0301317791411042
Harvey,48201240803,10,1,0,1,0.0,1.0,46067.0,,,
Harvey,48201240904,110,11,2,8,0.18181818181818182,0.7272727272727273,76649.0,,,
Harvey,48201241001,5,0,0,0,,,72326.0,,,
Harvey,48201241103,15,0,0,0,,,76513.0,0.7881699799999998,0.8007699799999999,0.042520002
Harvey,48201241104,21,2,0,1,0.0,0.5,98017.0,,,
Harvey,48201241105,14,0,0,0,,,73235.0,,,
Harvey,48201241201,14,1,0,1,0.0,1.0,70472.0,,,
Harvey,48201241301,2,0,0,0,,,108008.0,,,
Harvey,48201241302,51,2,0,1,0.0,0.5,110887.0,,,
Harvey,48201241400,42,1,0,1,0.0,1.0,93981.0,0.7881699799999998,0.8007699799999997,0.0425200019999999
Harvey,48201241503,141,17,9,4,0.5294117647058824,0.23529411764705882,,,,
Harvey,48201250102,1,0,0,0,,,91653.0,,,
Harvey,48201250201,132,9,2,5,0.2222222222222222,0.5555555555555556,57811.0,,,
Harvey,48201250304,21,0,0,0,,,76406.0,,,
Harvey,48201250403,5,0,0,0,,,66574.0,,,
Harvey,48201250404,3,2,0,2,0.0,1.0,143321.0,,,
Harvey,48201250701,49,2,2,0,1.0,0.0,109707.0,0.8840018697989952,0.8551829672026802,0.0522896817420435
Harvey,48201250801,4,0,0,0,,,133952.0,,,
Harvey,48201250802,4,1,1,0,1.0,0.0,132961.0,,,
Harvey,48201250901,224,25,0,25,0.0,1.0,120613.0,,,
Harvey,48201251000,96,5,0,4,0.0,0.8,87095.0,1.01327,0.8819100299999997,0.076030001
Harvey,48201251100,123,15,10,5,0.6666666666666666,0.3333333333333333,97748.0,1.0132700000000003,0.88191003,0.076030001
Harvey,48201251200,1,0,0,0,,,79974.0,1.01327,0.88191003,0.076030001
Harvey,48201251300,27,2,0,2,0.0,1.0,111450.0,1.01327,0.8819100299999999,0.0760300009999999
Harvey,48201251501,90,3,1,1,0.3333333333333333,0.3333333333333333,156797.0,1.1524125588662366,0.9079870073351362,0.1020559704499687
Harvey,48201251505,34,2,0,1,0.0,0.5,164322.0,,,
Harvey,48201251600,15,6,2,3,0.3333333333333333,0.5,89516.0,0.8782381352278261,0.9542497929217392,0.1185517149342609
Harvey,48201251902,2,0,0,0,,,117528.0,0.7867799999999998,0.96166003,0.057720002
Harvey,48201252201,1,0,0,0,,,58951.0,,,
Harvey,48201252202,1,0,0,0,,,71153.0,,,
Harvey,48201252400,6,0,0,0,,,64631.0,0.5676960472577407,0.9025744632554472,0.0198973729276089
