disaster,damage_grp,rel_day,p,n,lo,hi
Harvey (2017),Undamaged,-1,0.41867753055468504,3191,0.40156000239015766,0.4357950587192124
Harvey (2017),Undamaged,0,0.452134272689598,2413,0.4322756926627463,0.4719928527164497
Harvey (2017),Undamaged,1,0.4800483675937122,2481,0.4603891304788533,0.4997076047085711
Harvey (2017),Undamaged,2,0.4886672710788758,2206,0.4678073942631694,0.5095271478945822
Harvey (2017),Undamaged,3,0.4911541701769166,2374,0.47104390757101566,0.5112644327828175
Harvey (2017),Undamaged,4,0.4896927265655387,2571,0.47036936238409477,0.5090160907469826
Harvey (2017),Undamaged,5,0.5007283321194465,2746,0.4820268791907474,0.5194297850481455
Harvey (2017),Undamaged,6,0.5024339360222532,2876,0.4841602360891355,0.5207076359553708
Harvey (2017),Undamaged,7,0.5304504504504505,2775,0.511881485220088,0.5490194156808129
Harvey (2017),Undamaged,8,0.5500202511138113,2469,0.5303965305550356,0.569643971672587
Harvey (2017),Undamaged,9,0.5462149728147219,2391,0.5262589880023546,0.5661709576270891
Harvey (2017),Undamaged,10,0.5540789959394611,2709,0.535360697077514,0.5727972948014082
Harvey (2017),Undamaged,11,0.5467602936482604,3133,0.5293286502577712,0.5641919370387496
Harvey (2017),Undamaged,12,0.5727994705493051,3022,0.5551624168816185,0.5904365242169918
Harvey (2017),Undamaged,13,0.5175438596491229,4332,0.502663468524168,0.5324242507740777
Harvey (2017),Undamaged,14,0.5818394388152767,2566,0.5627540567612631,0.6009248208692902
Harvey (2017),Undamaged,15,0.6102522375915378,1229,0.582985910804328,0.6375185643787475
Irma (2017),Damaged,-10,0.17774834437086093,7550,0.1691247612070818,0.18637192753464005
Irma (2017),Damaged,-9,0.2568883022603531,6061,0.2458885439571114,0.26788806056359477
Irma (2017),Damaged,-8,0.3061546554445029,5703,0.29419259042176654,0.3181167204672392
Irma (2017),Damaged,-7,0.31182401466544457,5455,0.2995308632773267,0.32411716605356244
Irma (2017),Damaged,-6,0.30799475753604194,6867,0.2970753543497311,0.3189141607223528
Irma (2017),Damaged,-5,0.32571801566579633,7660,0.3152229936292151,0.3362130377023776
Irma (2017),Damaged,-4,0.34233548877900344,7887,0.3318635205437578,0.3528074570142491
Irma (2017),Damaged,-3,0.35511145272867023,10408,0.3459176093470681,0.36430529611027235
Irma (2017),Damaged,-2,0.4486784498135236,6167,0.43626509449377215,0.4610918051332751
Irma (2017),Damaged,-1,0.5285073670723895,3122,0.5109967036513524,0.5460180304934267
Irma (2017),Damaged,0,0.5744949494949495,3168,0.5572778911154418,0.5917120078744572
Irma (2017),Damaged,1,0.5296167247386759,4879,0.5156112626012416,0.5436221868761103
Irma (2017),Damaged,2,0.5413031371821051,5387,0.5279965788979675,0.5546096954662427
Irma (2017),Damaged,3,0.529635499207607,6310,0.5173201365985407,0.5419508618166733
Irma (2017),Damaged,4,0.5334463625154131,6488,0.5213069737583862,0.54558575127244
Irma (2017),Damaged,5,0.5540346968008913,6283,0.5417435739672009,0.5663258196345818
Irma (2017),Damaged,6,0.565121412803532,5889,0.5524597661981088,0.5777830594089552
Irma (2017),Damaged,7,0.5602988260405549,4685,0.5460856890285135,0.5745119630525963
Irma (2017),Damaged,8,0.5589100176435993,5101,0.5452841880350607,0.5725358472521378
Irma (2017),Damaged,9,0.556767254257544,6694,0.5448667331530457,0.5686677753620424
Irma (2017),Damaged,10,0.5577683408991068,6829,0.5459887729935592,0.5695479088046543
Irma (2017),Damaged,11,0.5686333534015653,6644,0.5567242050435149,0.5805425017596156
Irma (2017),Damaged,12,0.5819950586781965,6476,0.5699820163355432,0.5940081010208497
Irma (2017),Damaged,13,0.5974379503602882,6245,0.5852746153509634,0.6096012853696131
