disaster,quantity,x,y
Imelda,stay_duration,1.25,0.023268710358953084
Imelda,stay_duration,1.75,0.012824978340635044
Imelda,stay_duration,2.25,0.009620754654551979
Imelda,stay_duration,2.75,0.006887814123616133
Imelda,stay_duration,3.25,0.005537017947252917
Imelda,stay_duration,3.75,0.004387566865221565
Imelda,stay_duration,4.25,0.003969254167317235
Imelda,stay_duration,4.75,0.003052803773817237
Imelda,stay_duration,5.25,0.002682272598826674
Imelda,stay_duration,5.75,0.002180091041885051
Imelda,stay_duration,6.25,0.0019711306964164906
Imelda,stay_duration,6.75,0.001643561421837577
Imelda,stay_duration,7.25,0.0014688356637738334
Imelda,stay_duration,7.75,0.0012739669371791896
Imelda,stay_duration,8.25,0.00121569200671158
Imelda,stay_duration,8.75,0.001094497894812205
Imelda,stay_duration,9.25,0.001055685078669289
Imelda,stay_duration,9.75,0.000976243835166905
Imelda,stay_duration,10.25,0.0009599569772766126
Imelda,stay_duration,10.75,0.000900103702967342
Imelda,stay_duration,11.25,0.0008446656650255941
Imelda,stay_duration,11.75,0.0007438662313939593
Imelda,stay_duration,12.25,0.0006371268606118111
Imelda,stay_duration,12.75,0.0005220996372650184
Imelda,stay_duration,13.25,0.00042993879927395273
Imelda,stay_duration,13.75,0.0003472665930839329
Imelda,stay_duration,14.25,0.0002896642640442732
Imelda,stay_duration,14.75,0.00024241298213352114
Imelda,stay_duration,15.25,0.00020258301107042325
Imelda,stay_duration,15.75,0.00017141845717723008
Imelda,stay_duration,16.25,0.0001426327666166322
Imelda,stay_duration,16.75,0.00011773000822597735
Imelda,stay_duration,17.25,9.856499391853802e-05
Imelda,stay_duration,17.75,7.969089004465976e-05
Imelda,stay_duration,18.25,6.4177730115966e-05
Imelda,stay_duration,18.75,5.0948526569911414e-05
Imelda,stay_duration,19.25,3.835891333877837e-05
Imelda,stay_duration,19.75,1.5667899521013496e-05
Imelda,stay_duration,20.25,6.5217580176354564e-06
Imelda,stay_duration,20.75,5.2528933606136895e-06
Imelda,stay_duration,21.25,3.837541889529247e-06
Imelda,stay_duration,21.75,1.6959459318242156e-06
Imelda,stay_duration,22.25,9.346271376111553e-07
Imelda,stay_duration,22.75,8.479729659121078e-07
Imelda,stay_duration,23.25,6.457798986143303e-07
Imelda,stay_duration,23.75,2.4758334771156434e-07
Imelda,location_rank,1.0,0.12067608115737344
Imelda,location_rank,2.0,0.04818635600777801
Imelda,location_rank,3.0,0.017922878876419798
Imelda,location_rank,4.0,0.010152405949096967
Imelda,location_rank,5.0,0.0072133077847258715
Imelda,location_rank,6.0,0.005652288729050571
Imelda,location_rank,7.0,0.004614918183425794
Imelda,location_rank,8.0,0.003909416390064099
Imelda,location_rank,9.0,0.003318479007265795
Imelda,location_rank,10.0,0.002826475708945219
Imelda,location_rank,11.0,0.00249399906391517
Imelda,location_rank,12.0,0.002198468283738702
Imelda,location_rank,13.0,0.0019771160053252096
Imelda,location_rank,14.0,0.0017725310278786871
