disaster,distance_km,density
Harvey (2017),54.90981963927856,0.004474419643920556
Harvey (2017),55.31062124248497,0.004397488029728227
Harvey (2017),55.71142284569139,0.004322801426105766
Harvey (2017),56.1122244488978,0.004250301676492929
Harvey (2017),56.51302605210421,0.004179922137027843
Harvey (2017),56.91382765531062,0.004111588407221129
Harvey (2017),57.31462925851704,0.004045219164124888
Harvey (2017),57.71543086172345,0.003980727084015611
Harvey (2017),58.11623246492986,0.003918019834956138
Harvey (2017),58.517034068136276,0.003857001123242495
Harvey (2017),58.91783567134269,0.003797571776663404
Harvey (2017),59.3186372745491,0.003739630847679124
Harvey (2017),59.719438877755515,0.0036830767200417194
Harvey (2017),60.120240480961925,0.0036278082030065137
Harvey (2017),60.521042084168336,0.0035737255980995237
Harvey (2017),60.92184368737475,0.00352073172438413
Harvey (2017),61.322645290581164,0.003468732889291173
Harvey (2017),61.723446893787575,0.003417639793313329
Harvey (2017),62.12424849699399,0.003367368358200481
Harvey (2017),62.5250501002004,0.003317840469702723
Harvey (2017),62.92585170340681,0.003268984627374943
Harvey (2017),63.32665330661323,0.003220736495457389
Harvey (2017),63.72745490981964,0.00317303935036642
Harvey (2017),64.12825651302606,0.003125844421841085
Harvey (2017),64.52905811623246,0.0030791111262826174
Harvey (2017),64.92985971943888,0.003032807192268972
Harvey (2017),65.3306613226453,0.0029869086796101355
Harvey (2017),65.7314629258517,0.002941399894611743
Harvey (2017),66.13226452905812,0.00289627320541908
Harvey (2017),66.53306613226454,0.0028515287624045807
Harvey (2017),66.93386773547094,0.0028071741295290975
Harvey (2017),67.33466933867736,0.00276322383344049
Harvey (2017),67.73547094188378,0.002719698837768977
Harvey (2017),68.13627254509018,0.0026766259506345452
Harvey (2017),68.5370741482966,0.0026340371738042953
Harvey (2017),68.93787575150301,0.0025919690022307654
Harvey (2017),69.33867735470942,0.002550461682881368
Harvey (2017),69.73947895791584,0.002509558441846106
Harvey (2017),70.14028056112225,0.0024693046887040563
Harvey (2017),70.54108216432866,0.0024297472070566126
Harvey (2017),70.94188376753507,0.0023909333400148275
Harvey (2017),71.34268537074149,0.0023529101792778176
Harvey (2017),71.7434869739479,0.002315723766270869
Harvey (2017),72.14428857715431,0.002279418313639967
Harvey (2017),72.54509018036072,0.002244035455227008
Harvey (2017),72.94589178356713,0.002209613532480154
Harvey (2017),73.34669338677355,0.0021761869250815804
Harvey (2017),73.74749498997996,0.0021437854333905696
Harvey (2017),74.14829659318637,0.002112433720088163
Harvey (2017),74.54909819639279,0.0020821508181523055
Harvey (2017),74.9498997995992,0.002052949711966175
Harvey (2017),75.35070140280561,0.002024836997944039
Harvey (2017),75.75150300601203,0.0019978126305246545
Harvey (2017),76.15230460921843,0.0019718697587091777
Harvey (2017),76.55310621242485,0.0019469946574911595
Harvey (2017),76.95390781563127,0.001923166757526138
Harvey (2017),77.35470941883767,0.0019003587752128817
Harvey (2017),77.75551102204409,0.0018785369440072568
Harvey (2017),78.15631262525051,0.001857661346275612
Harvey (2017),78.55711422845691,0.0018376863433366842
Harvey (2017),78.95791583166333,0.0018185610995695401
Harvey (2017),79.35871743486975,0.0018002301946182
Harvey (2017),79.75951903807615,0.001782634315848839
Harvey (2017),80.16032064128257,0.0017657110213642256
Harvey (2017),80.56112224448898,0.001749395562112632
Harvey (2017),80.96192384769539,0.0017336217500015477
Harvey (2017),81.3627254509018,0.0017183228575040192
Harvey (2017),81.76352705410822,0.0017034325330816003
Harvey (2017),82.16432865731463,0.0016888857158979377
Harvey (2017),82.56513026052104,0.0016746195328042918
Harvey (2017),82.96593186372746,0.0016605741604798726
Harvey (2017),83.36673346693387,0.0016466936359279354
Harvey (2017),83.76753507014028,0.0016329265992762374
Harvey (2017),84.1683366733467,0.0016192269540028653
Harvey (2017),84.5691382765531,0.0016055544312889337
Harvey (2017),84.96993987975952,0.0015918750471568583
Harvey (2017),85.37074148296594,0.001578161443340679
Harvey (2017),85.77154308617234,0.0015643931053955034
Harvey (2017),86.17234468937876,0.0015505564543187049
