disaster,population,mobile_count
Harvey,2611,82
Harvey,3380,36
Harvey,1231,61
Harvey,1448,35
Harvey,2085,6
Harvey,1608,41
Harvey,6898,187
Harvey,6377,145
Harvey,3704,147
Harvey,3621,152
Harvey,4886,114
Harvey,4031,17
Harvey,4393,39
Harvey,5955,280
Harvey,2825,45
Harvey,6774,231
Harvey,0,2
Harvey,4894,136
Harvey,5427,163
Harvey,2268,202
Harvey,8588,215
Harvey,6386,128
Harvey,8014,129
Harvey,5437,54
Harvey,3440,45
Harvey,5516,102
Harvey,5671,64
Harvey,3683,40
Harvey,7948,112
Harvey,4472,56
Harvey,5455,50
Harvey,6255,51
Harvey,4743,69
Harvey,3788,78
Harvey,6031,63
Harvey,5711,116
Harvey,3868,121
Harvey,4297,86
Harvey,4503,61
Harvey,4718,78
Harvey,1937,91
Harvey,3329,80
Harvey,3635,111
Harvey,3611,150
Harvey,4700,166
Harvey,4265,61
Harvey,4753,144
Harvey,5984,63
Harvey,4036,67
Harvey,4890,69
Harvey,6464,81
Harvey,3042,36
Harvey,6203,47
Harvey,5722,39
Harvey,4138,60
Harvey,5461,74
Harvey,3013,62
Harvey,2826,113
Harvey,7611,153
Harvey,3728,121
Harvey,4272,87
Harvey,7032,221
Harvey,5013,160
Harvey,9350,204
Harvey,4612,170
Harvey,7269,173
Harvey,7947,234
Harvey,3642,201
Harvey,2468,91
Harvey,4184,59
Harvey,5217,0
Harvey,5904,108
Harvey,2558,81
Harvey,8387,0
Harvey,4112,45
Harvey,5700,327
Harvey,4281,83
Harvey,3762,100
Harvey,5845,89
Harvey,3260,62
Harvey,6897,135
Harvey,2600,0
Harvey,8519,52
Harvey,6022,0
Harvey,7958,0
Harvey,9469,0
Harvey,9006,0
Harvey,5057,0
Harvey,3738,0
Harvey,8956,0
Harvey,5024,0
Harvey,5116,0
Harvey,1813,0
Harvey,4879,81
Harvey,4363,68
Harvey,7950,156
Harvey,9200,192
Harvey,5126,86
Harvey,4106,58
Harvey,4601,51
Harvey,6083,268
Harvey,11496,291
Harvey,11948,348
Harvey,9870,83
Harvey,4490,139
Harvey,3907,34
Harvey,3844,9
Harvey,6374,104
Harvey,7252,226
Harvey,7110,168
Harvey,11020,44
Harvey,6033,143
Harvey,3689,19
Harvey,7416,244
Harvey,3648,32
Harvey,7218,294
Harvey,7252,203
Harvey,3184,74
Harvey,5532,192
Harvey,4044,117
Harvey,4623,246
Harvey,7336,241
Harvey,4885,317
Harvey,3667,86
Harvey,5061,77
Harvey,3017,54
Harvey,4263,96
Harvey,2824,84
Harvey,6027,26
Harvey,3005,127
Harvey,1263,28
Harvey,3761,107
Harvey,5107,211
Harvey,237,8
Harvey,1804,11
Harvey,1901,64
Harvey,5187,122
Harvey,3749,239
Harvey,3254,69
Harvey,7526,93
Harvey,2648,92
Harvey,3045,163
Harvey,3505,221
Harvey,5734,157
Harvey,6069,163
Harvey,8567,39
Harvey,2792,274
Harvey,2546,181
Harvey,3730,73
Harvey,5777,46
Harvey,4759,250
Harvey,6266,176
Harvey,6002,25
Harvey,2402,238
Harvey,10887,164
Harvey,6233,367
Harvey,9270,272
Harvey,14935,209
Harvey,2716,187
Harvey,6911,167
Harvey,3527,131
Harvey,2512,49
Harvey,3521,46
Harvey,7822,105
